1|"The Wire"|2002|8.8
2|"Breaking Bad"|2008|8.8
3|"Los Simpsons"|1989|8.6
4|"Game of Thrones"|2011|8.5
5|"The Sopranos"|1999|8.5
6|"Band of Brothers"|2001|8.5
7|"Chernobyl"|2019|8.5
8|"True Detective"|2014|8.5
9|"Monty Python's Flying Circus"|1969|8.4
10|"Rick and Morty"|2013|8.4
